test_end,return_pct,win_rate,num_trades
2014-08-09,1.7035244788872805,100.0,1
2014-11-09,2.3588680763515146,66.66666666666666,3
2015-02-09,-2.046623180849172,0.0,2
2015-05-09,-2.642329592949871,28.57142857142857,7
2015-08-09,-1.2074125850056734,40.0,5
2015-11-09,0.041667663184838596,41.66666666666667,12
2016-02-09,1.8182350606898399,50.0,6
2016-05-09,1.458769163136734,100.0,1
2016-08-09,3.337143327362748,75.0,4
2016-11-09,1.523317636227177,66.66666666666666,3
2017-02-09,-2.2128940831972432,0.0,3
2017-05-09,0.26109160737597265,50.0,4
2017-08-09,-0.6877416692688422,33.33333333333333,3
2017-11-09,-1.038292290299156,0.0,1
2018-02-09,4.0278444572093575,62.5,8
2018-05-09,-3.0789303417820046,0.0,3
2018-08-09,0.0,,0
2018-11-09,3.4172780510055603,75.0,4
2019-02-09,1.7976628462566733,66.66666666666666,3
2019-05-09,-0.2512454847915651,33.33333333333333,3
2019-08-09,-1.2382555701421372,42.857142857142854,7
2019-11-09,-0.9468335829016433,50.0,2
2020-02-09,1.9683423420476902,66.66666666666666,6
2020-05-09,1.6374913797195478,50.0,12
2020-08-09,4.186324749731909,62.5,8
2020-11-09,-2.00608888343563,0.0,2
2021-02-09,-1.434119577895879,25.0,4
2021-05-09,-1.0208447619667131,0.0,1
2021-08-09,0.6430540257388784,40.0,5
2021-11-09,0.0,,0
2022-02-09,-2.9706416491369456,0.0,3
2022-05-09,-2.0407582287181287,0.0,2
2022-08-09,0.0,,0
2022-11-09,-3.217870249889282,0.0,4
2023-02-09,-2.0147290044330295,0.0,2
2023-05-09,0.5013071345653152,50.0,8
2023-08-09,-5.833478741260987,0.0,6
2023-11-09,2.370915724975799,50.0,12
2024-02-09,2.4102222691613715,75.0,4
2024-05-09,5.906727081298057,100.0,5
2024-08-09,0.23802367116961975,50.0,4
2024-11-09,1.264527805999038,66.66666666666666,3
2025-02-09,-1.908483717677038,25.0,4
2025-05-09,4.0244754724925,63.63636363636363,11
2025-08-09,-2.788579323544007,33.33333333333333,9
2025-11-09,6.445251980444053,69.23076923076923,13
2026-02-09,9.84846856254767,83.33333333333334,12
2026-05-09,4.708577010311565,70.0,10
