Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,fold_test_end
-23.0,83.0,178.0,1258.5,1301.79,1301.79,1171.98,-1007.4473339999992,11.777334,-0.03480497258641227,2014-05-28 20:00:00,2014-06-19 16:00:00,21 days 20:00:00,,2014-08-09
104.0,290.0,297.0,1204.21,1194.62,1194.62,1223.3600000000004,-1047.255664000015,49.895664,-0.008362134511422512,2015-04-17 12:00:00,2015-04-20 16:00:00,3 days 04:00:00,,2015-05-09
35.0,177.0,193.0,1202.6,1174.54,1174.54,1258.7199999999998,-998.7399799999981,16.63998,-0.02372811242308331,2015-06-19 16:00:00,2015-06-24 08:00:00,4 days 16:00:00,,2015-08-09
-93.0,359.0,387.0,1092.84,1094.24,1103.41,1071.6699999999996,-170.87968800000846,40.679688,-0.001681322059953914,2015-08-03 04:00:00,2015-08-07 20:00:00,4 days 16:00:00,,2015-08-09
31.0,52.0,136.0,1141.19,1109.52,1109.52,1204.4700000000003,-995.7244020000022,13.954402000000002,-0.02814618249371282,2015-08-20 16:00:00,2015-09-09 16:00:00,20 days 00:00:00,,2015-11-09
41.0,293.0,321.0,1187.15,1163.28,1163.28,1234.9200000000003,-997.9435260000048,19.273526,-0.020502957503264196,2015-10-15 20:00:00,2015-10-22 12:00:00,6 days 16:00:00,,2015-11-09
-46.0,107.0,115.0,1049.96,1071.43,1071.43,1007.02,-1007.1367880000013,19.516788000000005,-0.02085248771381779,2015-12-03 04:00:00,2015-12-04 12:00:00,1 days 08:00:00,,2016-02-09
-63.0,153.0,182.0,1063.92,1079.55,1079.55,1032.6600000000003,-1011.6977219999926,27.007722,-0.015093892397924634,2015-12-14 20:00:00,2015-12-21 16:00:00,6 days 20:00:00,,2016-02-09
54.0,231.0,248.0,1076.1,1112.2300000000005,1058.08,1112.2300000000005,1927.3860360000303,23.633964000000006,0.033168231576991405,2016-01-05 04:00:00,2016-01-08 00:00:00,2 days 20:00:00,,2016-02-09
47.0,304.0,361.0,1103.22,1144.9099999999999,1082.39,1144.9099999999999,1938.297577999992,21.132422,0.03738182230198864,2016-01-21 08:00:00,2016-02-03 20:00:00,13 days 12:00:00,,2016-02-09
-40.0,364.0,377.0,1277.25,1284.33,1301.6,1228.2800000000004,-303.6926399999971,20.49264,-0.005944267762771575,2016-05-04 20:00:00,2016-05-09 00:00:00,4 days 04:00:00,,2016-05-09
36.0,139.0,204.0,1261.99,1316.7799999999997,1234.67,1316.7799999999997,1953.8728559999904,18.567144,0.043006874856377324,2016-06-09 08:00:00,2016-06-24 04:00:00,14 days 20:00:00,,2016-08-09
-49.0,220.0,243.0,1321.61,1280.8299999999997,1342.0,1280.8299999999997,1972.71608800001,25.503911999999996,0.03046247531420025,2016-09-28 20:00:00,2016-10-04 16:00:00,5 days 20:00:00,,2016-11-09
-16.0,17.0,382.0,1231.47,1240.24,1292.1,1110.2100000000003,-148.2294719999997,7.909472000000001,-0.00752299447002355,2016-11-11 20:00:00,2017-02-09 00:00:00,89 days 04:00:00,,2017-02-09
-149.0,92.0,96.0,1243.8,1230.4699999999998,1250.48,1230.4699999999998,1912.436754000023,73.733246,0.010319300530632014,2017-03-02 12:00:00,2017-03-03 04:00:00,0 days 16:00:00,,2017-05-09
66.0,273.0,305.0,1287.05,1271.77,1271.77,1317.61,-1042.256423999998,33.776424000000006,-0.012269736218484099,2017-04-13 16:00:00,2017-04-24 00:00:00,10 days 08:00:00,,2017-05-09
-89.0,307.0,308.0,1277.56,1288.72,1288.72,1255.3299999999997,-1038.9197840000072,45.679784,-0.009137148940167336,2017-10-19 08:00:00,2017-10-19 12:00:00,0 days 04:00:00,,2017-11-09
159.0,223.0,224.0,1335.07,1347.59,1328.78,1347.59,1905.371411999997,85.308588,0.008975909877384758,2018-04-04 08:00:00,2018-04-04 12:00:00,0 days 04:00:00,,2018-05-09
-57.0,213.0,306.0,1254.94,1219.95,1272.45,1219.95,1966.2162540000006,28.213746000000004,0.02748738744481809,2018-06-27 16:00:00,2018-07-19 08:00:00,21 days 16:00:00,,2018-08-09
99.0,81.0,83.0,1212.92,1202.95,1202.95,1232.98,-1034.8642260000026,47.834226,-0.00861818916334133,2018-08-28 12:00:00,2018-08-28 20:00:00,0 days 08:00:00,,2018-11-09
-124.0,137.0,147.0,1194.83,1203.41,1203.41,1179.59,-1123.396352000019,59.476352000000006,-0.007582374061582111,2018-09-11 00:00:00,2018-09-12 16:00:00,1 days 16:00:00,,2018-11-09
118.0,329.0,345.0,1234.08,1225.5,1225.5,1250.31,-1070.4860879999915,58.046088000000005,-0.007351157137300588,2018-10-25 00:00:00,2018-10-29 16:00:00,4 days 16:00:00,,2018-11-09
37.0,321.0,375.0,1303.22,1314.8,1276.66,1356.16,409.0866519999973,19.373348,0.008483906017403012,2019-01-28 20:00:00,2019-02-08 20:00:00,11 days 00:00:00,,2019-02-09
-53.0,267.0,371.0,1291.69,1280.23,1310.48,1254.1100000000001,580.117648000002,27.262352000000003,0.00847387221392136,2019-04-12 16:00:00,2019-05-09 00:00:00,26 days 08:00:00,,2019-05-09
38.0,304.0,383.0,1426.19,1478.65,1399.99,1478.65,1971.4032160000013,22.076784000000004,0.036375961127199125,2019-07-18 20:00:00,2019-08-07 00:00:00,19 days 04:00:00,,2019-08-09
58.0,77.0,88.0,1542.66,1525.58,1525.58,1576.8500000000004,-1026.231584000009,35.591584,-0.01146957074144671,2019-08-27 20:00:00,2019-08-29 16:00:00,1 days 20:00:00,,2019-11-09
-141.0,349.0,350.0,1487.63,1494.66,1494.66,1473.66,-1075.3305779999962,84.10057800000001,-0.005126582550768681,2019-10-30 08:00:00,2019-10-30 12:00:00,0 days 04:00:00,,2019-11-09
-22.0,355.0,369.0,1548.57,1569.02,1593.53,1458.6499999999999,-463.617396000001,13.717396,-0.013608372885952963,2020-02-05 12:00:00,2020-02-07 20:00:00,2 days 08:00:00,,2020-02-09
