<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.08.10	00:00:00	11260.0	11272.0	10685.0	10772.0	687	0	0
2011.08.11	00:00:00	10768.0	11279.0	10614.0	11102.0	997	0	0
2011.08.12	00:00:00	11102.0	11345.0	10927.0	11283.0	656	0	0
2011.08.15	00:00:00	11305.0	11484.0	11278.0	11423.0	295	0	0
2011.08.16	00:00:00	11424.0	11484.0	11293.0	11375.0	334	0	0
2011.08.17	00:00:00	11374.0	11530.0	11321.0	11382.0	411	0	0
2011.08.18	00:00:00	11383.0	11384.0	10890.0	10971.0	577	0	0
2011.08.19	00:00:00	10972.0	11086.0	10803.0	10837.0	432	0	0
2011.08.22	00:00:00	10823.0	11050.0	10732.0	10858.0	602	0	0
2011.08.23	00:00:00	10857.0	11176.0	10830.0	11130.0	420	0	0
2011.08.24	00:00:00	11130.0	11328.0	11019.0	11267.0	482	0	0
2011.08.25	00:00:00	11263.0	11401.0	11105.0	11176.0	506	0	0
2011.08.26	00:00:00	11175.0	11326.0	10928.0	11296.0	676	0	0
2011.08.29	00:00:00	11287.0	11542.0	11263.0	11524.0	322	0	0
2011.08.30	00:00:00	11525.0	11630.0	11427.0	11494.0	376	0	0
2011.08.31	00:00:00	11494.0	11712.0	11487.0	11616.0	329	0	0
2011.09.01	00:00:00	11615.0	11716.0	11463.0	11468.0	360	0	0
2011.09.02	00:00:00	11468.0	11499.0	11212.0	11218.0	325	0	0
2011.09.05	00:00:00	11196.0	11208.0	10930.0	10953.0	314	0	0
2011.09.06	00:00:00	10953.0	11165.0	10931.0	11152.0	270	0	0
2011.09.07	00:00:00	11153.0	11445.0	11146.0	11439.0	313	0	0
2011.09.08	00:00:00	11440.0	11478.0	11254.0	11283.0	292	0	0
2011.09.09	00:00:00	11282.0	11377.0	10935.0	11032.0	635	0	0
2011.09.12	00:00:00	10924.0	11131.0	10775.0	11084.0	553	0	0
2011.09.13	00:00:00	11084.0	11142.0	10909.0	11063.0	446	0	0
2011.09.14	00:00:00	11065.0	11392.0	10949.0	11254.0	698	0	0
2011.09.15	00:00:00	11256.0	11484.0	11200.0	11441.0	384	0	0
2011.09.16	00:00:00	11441.0	11533.0	11372.0	11518.0	246	0	0
2011.09.19	00:00:00	11423.0	11447.0	11252.0	11326.0	294	0	0
2011.09.20	00:00:00	11326.0	11549.0	11295.0	11429.0	406	0	0
