<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.05.15	04:00:00	1425.52	1429.78	1424.98	1425.40	12960	0	0
2013.05.15	08:00:00	1425.40	1426.94	1408.26	1411.78	28292	0	0
2013.05.15	12:00:00	1411.81	1417.68	1406.13	1411.51	29828	0	0
2013.05.15	16:00:00	1411.51	1416.37	1390.24	1395.50	40493	0	0
2013.05.15	20:00:00	1395.47	1399.08	1388.72	1392.54	20624	0	0
2013.05.16	00:00:00	1392.28	1396.64	1386.88	1391.65	9631	0	0
2013.05.16	04:00:00	1391.66	1397.95	1389.76	1394.31	17615	0	0
2013.05.16	08:00:00	1394.32	1396.62	1369.47	1372.16	26425	0	0
2013.05.16	12:00:00	1372.13	1381.25	1370.38	1379.86	27167	0	0
2013.05.16	16:00:00	1379.87	1390.61	1375.76	1385.44	34832	0	0
2013.05.16	20:00:00	1385.43	1389.32	1383.87	1385.55	13896	0	0
2013.05.17	00:00:00	1385.44	1389.85	1383.76	1389.81	5438	0	0
2013.05.17	04:00:00	1389.84	1392.83	1377.46	1379.93	14834	0	0
2013.05.17	08:00:00	1379.98	1388.23	1372.94	1377.54	25845	0	0
2013.05.17	12:00:00	1377.48	1383.54	1366.54	1377.67	28788	0	0
2013.05.17	16:00:00	1377.56	1381.13	1359.27	1365.87	35295	0	0
2013.05.17	20:00:00	1365.82	1368.70	1355.01	1359.53	19365	0	0
2013.05.20	00:00:00	1362.94	1365.31	1337.75	1347.42	20885	0	0
2013.05.20	04:00:00	1347.37	1351.53	1341.39	1343.82	20754	0	0
2013.05.20	08:00:00	1343.80	1355.13	1341.97	1352.09	20530	0	0
2013.05.20	12:00:00	1352.23	1364.96	1348.51	1354.11	21970	0	0
2013.05.20	16:00:00	1354.10	1399.43	1350.85	1384.78	37459	0	0
2013.05.20	20:00:00	1384.80	1398.96	1382.30	1393.09	19274	0	0
2013.05.21	00:00:00	1393.16	1394.84	1384.13	1390.11	6066	0	0
2013.05.21	04:00:00	1390.27	1395.05	1383.89	1393.55	11341	0	0
2013.05.21	08:00:00	1393.70	1401.37	1384.18	1385.30	16965	0	0
2013.05.21	12:00:00	1385.35	1385.35	1371.53	1373.43	22488	0	0
2013.05.21	16:00:00	1373.35	1382.17	1359.52	1377.68	30062	0	0
2013.05.21	20:00:00	1377.56	1381.70	1371.83	1375.90	11888	0	0
2013.05.22	00:00:00	1375.85	1378.95	1371.91	1378.65	6987	0	0
2013.05.22	04:00:00	1378.68	1380.98	1375.44	1376.11	8452	0	0
2013.05.22	08:00:00	1376.17	1389.86	1375.24	1384.05	14707	0	0
2013.05.22	12:00:00	1384.04	1397.73	1381.70	1394.01	19753	0	0
2013.05.22	16:00:00	1394.02	1414.22	1366.84	1374.98	31445	0	0
2013.05.22	20:00:00	1374.93	1375.17	1354.29	1369.34	21433	0	0
2013.05.23	00:00:00	1369.39	1370.35	1360.39	1363.04	8782	0	0
2013.05.23	04:00:00	1363.02	1373.89	1356.47	1372.17	13433	0	0
2013.05.23	08:00:00	1371.97	1390.04	1369.87	1389.88	19437	0	0
2013.05.23	12:00:00	1389.89	1398.13	1383.95	1385.65	24812	0	0
2013.05.23	16:00:00	1385.51	1394.29	1377.29	1387.65	27627	0	0
2013.05.23	20:00:00	1387.71	1394.20	1387.30	1390.59	10949	0	0
2013.05.24	00:00:00	1390.60	1393.42	1386.85	1390.90	4420	0	0
2013.05.24	04:00:00	1390.85	1398.01	1387.86	1397.86	9606	0	0
2013.05.24	08:00:00	1397.85	1397.85	1387.75	1390.03	13190	0	0
2013.05.24	12:00:00	1390.03	1394.50	1383.71	1391.93	17818	0	0
2013.05.24	16:00:00	1391.90	1393.12	1385.44	1387.07	18835	0	0
2013.05.24	20:00:00	1387.12	1389.03	1382.22	1386.08	8557	0	0
2013.05.27	00:00:00	1387.35	1388.64	1384.12	1384.59	5347	0	0
2013.05.27	04:00:00	1384.60	1393.29	1384.30	1391.75	9433	0	0
2013.05.27	08:00:00	1391.89	1394.53	1390.97	1392.91	7169	0	0
2013.05.27	12:00:00	1392.90	1396.59	1392.59	1394.11	6028	0	0
2013.05.27	16:00:00	1394.20	1396.41	1392.67	1394.83	4557	0	0
2013.05.27	20:00:00	1394.85	1395.12	1394.36	1394.53	87	0	0
2013.05.28	00:00:00	1394.20	1396.11	1388.54	1389.69	4886	0	0
2013.05.28	04:00:00	1389.61	1392.37	1386.82	1388.33	10327	0	0
2013.05.28	08:00:00	1388.28	1392.47	1377.51	1379.00	12774	0	0
2013.05.28	12:00:00	1379.06	1382.12	1375.57	1382.09	14149	0	0
2013.05.28	16:00:00	1382.08	1401.74	1373.39	1385.86	26773	0	0
2013.05.28	20:00:00	1385.90	1386.49	1379.20	1380.71	13051	0	0
2013.05.29	00:00:00	1380.64	1386.13	1379.91	1386.10	5490	0	0
2013.05.29	04:00:00	1386.13	1389.94	1383.59	1386.76	11038	0	0
2013.05.29	08:00:00	1386.83	1388.49	1380.81	1386.47	13761	0	0
2013.05.29	12:00:00	1386.48	1394.54	1382.12	1387.17	14204	0	0
2013.05.29	16:00:00	1387.23	1392.81	1382.38	1391.88	17755	0	0
2013.05.29	20:00:00	1392.06	1395.08	1390.46	1392.39	9880	0	0
2013.05.30	00:00:00	1392.32	1393.87	1389.53	1390.05	4714	0	0
2013.05.30	04:00:00	1389.91	1397.76	1388.52	1395.06	8572	0	0
2013.05.30	08:00:00	1395.29	1410.63	1394.43	1406.60	16541	0	0
2013.05.30	12:00:00	1406.60	1408.88	1396.65	1406.50	20076	0	0
2013.05.30	16:00:00	1406.49	1417.90	1405.84	1412.97	22335	0	0
2013.05.30	20:00:00	1412.97	1415.77	1411.15	1413.49	6536	0	0
2013.05.31	00:00:00	1413.57	1416.94	1412.58	1414.46	2911	0	0
2013.05.31	04:00:00	1414.52	1421.74	1413.82	1418.47	6941	0	0
2013.05.31	08:00:00	1418.22	1419.21	1411.52	1414.66	8982	0	0
2013.05.31	12:00:00	1414.63	1415.77	1404.76	1406.63	15505	0	0
2013.05.31	16:00:00	1406.68	1409.90	1389.70	1395.78	20932	0	0
2013.05.31	20:00:00	1395.78	1395.99	1384.57	1387.33	11504	0	0
2013.06.03	00:00:00	1388.99	1396.96	1388.63	1396.57	2839	0	0
2013.06.03	04:00:00	1397.46	1397.86	1392.86	1394.46	4775	0	0
2013.06.03	08:00:00	1394.51	1401.51	1391.03	1398.35	8484	0	0
2013.06.03	12:00:00	1398.25	1399.87	1392.67	1395.40	9648	0	0
2013.06.03	16:00:00	1395.38	1416.75	1390.72	1412.76	18744	0	0
2013.06.03	20:00:00	1412.71	1413.92	1408.93	1411.01	7186	0	0
2013.06.04	00:00:00	1411.07	1414.59	1410.27	1414.23	4092	0	0
2013.06.04	04:00:00	1414.36	1414.98	1409.32	1409.89	7563	0	0
2013.06.04	08:00:00	1409.94	1411.83	1403.58	1405.43	10076	0	0
2013.06.04	12:00:00	1405.42	1406.56	1393.29	1395.49	15127	0	0
2013.06.04	16:00:00	1395.49	1400.83	1388.79	1396.70	18346	0	0
2013.06.04	20:00:00	1396.85	1399.62	1396.08	1399.19	3856	0	0
2013.06.05	00:00:00	1399.00	1399.78	1397.34	1399.48	2387	0	0
2013.06.05	04:00:00	1399.46	1408.22	1397.94	1407.35	6992	0	0
2013.06.05	08:00:00	1407.58	1408.03	1398.60	1399.89	9587	0	0
2013.06.05	12:00:00	1399.89	1408.84	1395.63	1401.71	12655	0	0
2013.06.05	16:00:00	1401.78	1410.38	1399.57	1403.21	18532	0	0
2013.06.05	20:00:00	1403.16	1403.82	1396.52	1402.99	7229	0	0
2013.06.06	00:00:00	1402.97	1403.07	1398.04	1400.60	2606	0	0
2013.06.06	04:00:00	1400.44	1402.81	1397.06	1398.11	6596	0	0
2013.06.06	08:00:00	1398.06	1405.92	1391.56	1403.01	12470	0	0
2013.06.06	12:00:00	1403.07	1406.95	1395.24	1396.97	14367	0	0
2013.06.06	16:00:00	1396.99	1423.67	1396.32	1416.30	24004	0	0
2013.06.06	20:00:00	1416.69	1418.31	1411.13	1413.05	7625	0	0
2013.06.07	00:00:00	1413.05	1417.74	1410.99	1416.24	3477	0	0
2013.06.07	04:00:00	1416.33	1417.62	1411.44	1414.14	8926	0	0
2013.06.07	08:00:00	1414.18	1415.20	1409.53	1410.98	10654	0	0
2013.06.07	12:00:00	1410.93	1416.90	1393.03	1396.12	16012	0	0
2013.06.07	16:00:00	1396.17	1398.01	1377.56	1382.71	26834	0	0
2013.06.07	20:00:00	1382.68	1384.55	1378.24	1382.38	8528	0	0
2013.06.10	00:00:00	1382.94	1388.03	1377.89	1385.42	5377	0	0
