<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.06.21	20:00:00	17822.00	17877.00	17800.00	17821.90	8537	0	0
2016.06.22	00:00:00	17819.50	17828.50	17809.00	17819.50	1191	0	0
2016.06.22	04:00:00	17819.00	17853.00	17815.00	17844.50	1951	0	0
2016.06.22	08:00:00	17845.00	17865.00	17817.50	17827.50	6195	0	0
2016.06.22	12:00:00	17827.00	17867.00	17826.50	17849.00	4117	0	0
2016.06.22	16:00:00	17847.50	17918.60	17798.60	17821.10	12924	0	0
2016.06.22	20:00:00	17821.60	17830.60	17767.10	17787.10	10450	0	0
2016.06.23	00:00:00	17782.40	17879.40	17782.40	17862.10	1810	0	0
2016.06.23	04:00:00	17861.60	17875.10	17843.10	17854.10	1805	0	0
2016.06.23	08:00:00	17853.60	17885.60	17840.10	17882.10	8002	0	0
2016.06.23	12:00:00	17881.10	17983.10	17880.60	17955.10	11966	0	0
2016.06.23	16:00:00	17954.60	17975.00	17891.60	17938.00	17597	0	0
